Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6000.000000,6110.000000,5660.000000,6110.000000,4449.709961,74195000
2000-01-05,5800.000000,6060.000000,5520.000000,5580.000000,4063.728760,74680000
2000-01-06,5750.000000,5780.000000,5580.000000,5620.000000,4092.859863,54390000
2000-01-07,5560.000000,5670.000000,5360.000000,5540.000000,4034.598877,40305000
2000-01-10,5600.000000,5770.000000,5580.000000,5770.000000,4202.098145,46880000
2000-01-11,5820.000000,6100.000000,5770.000000,5770.000000,4202.098145,59745000
2000-01-12,5610.000000,5740.000000,5600.000000,5720.000000,4165.683594,29220000
2000-01-13,5600.000000,5740.000000,5560.000000,5710.000000,4158.403320,41190000
2000-01-14,5720.000000,5880.000000,5680.000000,5830.000000,4245.795410,49375000
2000-01-17,6000.000000,6180.000000,5920.000000,6100.000000,4442.427734,63505000
2000-01-18,6160.000000,6160.000000,5980.000000,6100.000000,4442.427734,45260000
2000-01-19,6000.000000,6040.000000,5960.000000,5960.000000,4340.471680,40205000
2000-01-20,5860.000000,6040.000000,5820.000000,6040.000000,4398.731934,37315000
2000-01-21,5950.000000,5980.000000,5880.000000,5880.000000,4282.211426,32535000
2000-01-24,5800.000000,5900.000000,5700.000000,5700.000000,4151.122070,34355000
2000-01-25,5520.000000,5640.000000,5440.000000,5440.000000,3961.772461,44250000
2000-01-26,5500.000000,5520.000000,5410.000000,5480.000000,3990.903076,29285000
2000-01-27,5480.000000,5620.000000,5430.000000,5520.000000,4020.032227,27900000
2000-01-28,5640.000000,5880.000000,5540.000000,5820.000000,4238.513184,38315000
2000-01-31,5640.000000,5730.000000,5560.000000,5580.000000,4063.728760,39630000
2000-02-01,5600.000000,5680.000000,5260.000000,5320.000000,3874.381104,71470000
2000-02-02,5220.000000,5370.000000,5110.000000,5250.000000,3823.400879,64105000
2000-02-03,5250.000000,5460.000000,4970.000000,5130.000000,3736.008545,142765000
2000-02-04,5130.000000,5130.000000,5130.000000,5130.000000,3736.008545,0
2000-02-07,5140.000000,5330.000000,5040.000000,5240.000000,3816.118652,64140000
2000-02-08,5340.000000,5480.000000,5310.000000,5430.000000,3954.488037,58460000
2000-02-09,5560.000000,5720.000000,5480.000000,5720.000000,4165.683594,51050000
2000-02-10,5660.000000,5880.000000,5600.000000,5760.000000,4194.814941,61845000
2000-02-11,5960.000000,5960.000000,5680.000000,5700.000000,4151.122070,34660000
2000-02-14,5600.000000,5660.000000,5340.000000,5380.000000,3918.075684,44140000
2000-02-15,5380.000000,5420.000000,5140.000000,5200.000000,3786.986816,38315000
2000-02-16,5180.000000,5200.000000,4780.000000,5000.000000,3641.333740,73115000
2000-02-17,4940.000000,5100.000000,4910.000000,5080.000000,3699.595215,65185000
